instance_index,original_test_index,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,predicted_class,prediction_score,target_credit
0,438,1,42,5,6,3394,1,1,4,3,2,4,3,65,3,2,2,1,1,1,1,1,0.445,0
1,89,1,12,1,6,1108,1,4,4,3,1,3,1,28,3,2,2,3,1,1,1,1,0.565,1
2,29,1,60,4,9,6836,1,5,3,3,1,4,4,63,3,2,2,3,1,2,1,1,0.65,1
3,466,1,24,4,4,1659,1,2,4,2,1,2,3,29,3,1,1,2,1,2,1,1,0.64,1
4,983,1,36,3,2,8229,1,3,2,3,1,2,2,26,3,2,1,3,2,1,1,1,0.41,1
5,958,1,28,3,1,4006,1,3,3,3,1,2,3,45,3,2,1,2,1,1,1,1,0.47,1
6,444,2,48,5,3,5096,1,3,2,2,1,3,3,30,3,2,1,4,1,2,1,1,0.55,1
7,782,2,12,1,8,1410,1,3,2,3,1,2,1,31,3,2,1,2,1,2,1,1,0.425,0
8,339,2,10,3,3,1521,1,3,4,1,1,2,3,31,3,2,1,2,1,1,1,1,0.56,0
9,938,2,60,3,7,6288,1,3,4,3,1,4,4,42,3,3,1,3,1,1,1,1,0.785,1
10,706,2,48,3,1,6560,2,4,3,3,1,2,2,24,3,2,1,3,1,1,1,1,0.515,1
11,569,1,48,3,4,6758,1,3,3,2,1,2,3,31,3,2,1,3,1,2,1,1,0.74,1
12,108,1,24,3,3,7721,5,2,1,2,1,2,2,30,3,2,1,3,1,2,2,1,0.455,0
13,166,1,18,3,3,1131,1,1,4,2,1,2,3,33,3,2,1,3,1,1,1,1,0.71,1
14,887,2,48,3,9,15672,1,3,2,3,1,2,3,23,3,2,1,3,1,2,1,1,0.755,1
15,585,1,18,3,3,2039,1,3,1,2,1,4,1,20,1,1,1,3,1,1,1,1,0.4,1
16,501,1,36,3,2,5493,1,5,2,3,1,4,4,42,3,3,1,3,2,1,1,1,0.56,0
17,287,2,48,4,10,7582,2,1,2,3,1,4,4,31,3,3,1,4,1,2,1,1,0.4,0
18,192,2,27,3,9,3915,1,3,4,3,1,2,3,36,3,2,1,3,2,2,1,1,0.4,1
19,835,1,12,1,1,1082,1,3,4,3,1,4,3,48,1,2,2,3,1,1,1,1,0.655,1
20,141,2,36,3,4,4795,1,2,4,2,1,1,4,30,3,2,1,4,1,2,1,1,0.56,0
21,205,1,30,5,2,10623,1,5,3,3,1,4,4,38,3,3,3,4,2,2,1,1,0.46,0
22,927,1,48,3,2,10297,1,4,4,3,1,4,4,39,2,3,3,3,2,2,1,1,0.685,1
23,972,1,24,2,1,1193,1,1,1,2,2,4,4,29,3,1,2,1,1,1,1,1,0.635,1
24,373,4,60,5,1,13756,5,5,2,3,1,4,4,63,1,3,1,4,1,2,1,1,0.475,0
25,578,2,36,5,1,2820,1,2,4,1,1,4,3,27,3,2,2,3,1,1,1,1,0.46,1
26,610,1,12,3,5,741,2,1,4,2,1,3,2,22,3,2,1,3,1,1,1,1,0.465,1
27,503,2,24,5,4,1216,2,2,4,3,1,4,4,38,1,2,2,3,2,1,1,1,0.465,1
28,809,2,15,1,1,1778,1,2,2,2,1,1,1,26,3,1,2,1,1,1,1,1,0.635,1
29,775,1,24,3,1,1371,5,3,4,2,1,4,1,25,3,1,1,3,1,1,1,1,0.585,1
30,853,1,18,2,1,1442,1,4,4,3,1,4,4,32,3,3,2,2,2,1,1,1,0.815,1
31,199,2,18,4,3,4297,1,5,4,1,1,3,4,40,3,2,1,4,1,2,1,1,0.45,1
32,525,2,26,3,2,7966,1,2,2,3,1,3,3,30,3,2,2,3,1,1,1,1,0.445,0
33,979,2,15,2,1,1264,2,3,2,4,1,2,2,25,3,1,1,3,1,1,1,1,0.585,1
34,67,2,12,3,1,1007,4,3,4,4,1,1,1,22,3,2,1,3,1,1,1,1,0.43,0
35,375,1,48,2,9,7685,1,4,2,2,3,4,3,37,3,1,1,3,1,1,1,1,0.585,1
36,148,1,36,5,3,5371,1,3,3,3,3,2,2,28,3,2,2,3,1,1,1,1,0.555,0
37,885,1,12,3,7,795,1,2,4,2,1,4,2,53,3,2,1,3,1,1,1,1,0.515,1
38,739,2,30,1,9,4280,2,3,4,2,1,4,3,26,3,1,2,2,1,1,1,1,0.575,1
39,822,1,36,3,3,2712,1,5,2,3,1,2,2,41,1,2,1,3,2,1,1,1,0.415,1
40,301,2,36,1,4,3804,1,3,4,2,1,1,3,42,3,2,1,3,1,2,1,1,0.44,1
41,359,1,30,3,3,2406,1,4,4,2,1,4,1,23,3,1,1,3,1,1,1,1,0.5,1
42,11,1,48,3,9,4308,1,2,3,2,1,4,2,24,3,1,1,3,1,1,1,1,0.62,1
43,307,1,12,3,4,727,2,2,4,4,1,3,4,33,3,2,1,2,1,2,1,1,0.485,1
44,704,2,27,3,9,2528,1,2,4,2,1,1,2,32,3,2,1,3,2,2,1,1,0.515,0
45,315,1,36,2,3,2746,1,5,4,3,1,4,3,31,1,2,1,3,1,1,1,1,0.645,1
46,504,1,24,3,1,1207,1,2,4,2,1,4,2,24,3,1,1,3,1,1,1,1,0.765,1
47,594,1,24,2,10,1358,5,5,4,3,1,3,3,40,2,2,1,4,1,2,1,1,0.46,1
