instance_index,feature_name,percentage_changed,num_changed,num_total,original_value,feature_type,average_change,min_change,max_change,std_change,distribution,unique_values
0,amount,100.0,10,10,3394.0,numeric,117.4,-52.0,223.0,105.3349,,
0,credit_history,50.0,5,10,5.0,numeric,-2.2,-3.0,-2.0,0.4,,
0,duration,100.0,10,10,42.0,numeric,-21.3,-36.0,-6.0,10.0802,,
0,employment_duration,100.0,10,10,1.0,numeric,3.0,1.0,4.0,1.0954,,
0,foreign_worker,0.0,0,10,1.0,categorical,,,,,{},
0,housing,40.0,4,10,2.0,numeric,-1.0,-1.0,-1.0,0.0,,
0,installment_rate,60.0,6,10,4.0,numeric,-2.1667,-3.0,-1.0,0.6872,,
0,job,100.0,10,10,1.0,numeric,2.0,1.0,3.0,0.6325,,
0,number_credits,80.0,8,10,2.0,numeric,-0.75,-1.0,1.0,0.6614,,
0,other_debtors,90.0,9,10,2.0,numeric,-0.7778,-1.0,1.0,0.6285,,
0,other_installment_plans,10.0,1,10,3.0,numeric,-1.0,-1.0,-1.0,0.0,,
0,people_liable,20.0,2,10,1.0,numeric,1.0,1.0,1.0,0.0,,
0,present_residence,60.0,6,10,4.0,numeric,-1.8333,-3.0,-1.0,0.6872,,
0,property,40.0,4,10,3.0,numeric,-0.5,-1.0,1.0,0.866,,
0,purpose,100.0,10,10,6.0,numeric,-2.6,-5.0,1.0,1.4283,,
0,savings,50.0,5,10,1.0,numeric,3.8,3.0,4.0,0.4,,
0,status,90.0,9,10,1.0,numeric,2.1111,1.0,3.0,0.8749,,
0,telephone,50.0,5,10,1.0,numeric,1.0,1.0,1.0,0.0,,
1,amount,100.0,10,10,1108.0,numeric,21.7,-101.0,101.0,53.4491,,
1,credit_history,100.0,10,10,1.0,numeric,2.3,2.0,4.0,0.6403,,
1,duration,50.0,5,10,12.0,numeric,0.4,-6.0,9.0,5.9532,,
1,employment_duration,100.0,10,10,4.0,numeric,-0.5,-3.0,1.0,1.3601,,
1,foreign_worker,0.0,0,10,1.0,categorical,,,,,{},
1,housing,40.0,4,10,2.0,numeric,-0.5,-1.0,1.0,0.866,,
1,installment_rate,50.0,5,10,4.0,numeric,-1.6,-2.0,-1.0,0.4899,,
1,job,50.0,5,10,3.0,numeric,0.2,-1.0,1.0,0.9798,,
1,number_credits,70.0,7,10,2.0,numeric,-1.0,-1.0,-1.0,0.0,,
1,other_debtors,20.0,2,10,1.0,numeric,2.0,2.0,2.0,0.0,,
1,other_installment_plans,20.0,2,10,3.0,numeric,-2.0,-2.0,-2.0,0.0,,
1,people_liable,30.0,3,10,1.0,numeric,1.0,1.0,1.0,0.0,,
1,present_residence,90.0,9,10,3.0,numeric,0.2222,-2.0,1.0,1.1331,,
1,property,40.0,4,10,1.0,numeric,1.75,1.0,3.0,0.8292,,
1,purpose,100.0,10,10,6.0,numeric,-1.6,-5.0,4.0,2.8,,
1,savings,40.0,4,10,1.0,numeric,2.5,1.0,4.0,1.118,,
1,status,80.0,8,10,1.0,numeric,1.625,1.0,3.0,0.857,,
1,telephone,50.0,5,10,1.0,numeric,1.0,1.0,1.0,0.0,,
2,amount,100.0,10,10,6836.0,numeric,167.6,-576.0,746.0,485.0788,,
2,credit_history,70.0,7,10,4.0,numeric,-0.2857,-2.0,1.0,1.1606,,
2,duration,100.0,10,10,60.0,numeric,-29.2,-48.0,-12.0,11.6344,,
2,employment_duration,60.0,6,10,5.0,numeric,-3.0,-4.0,-1.0,1.4142,,
2,foreign_worker,0.0,0,10,1.0,categorical,,,,,{},
2,housing,50.0,5,10,2.0,numeric,-0.2,-1.0,1.0,0.9798,,
2,installment_rate,60.0,6,10,3.0,numeric,-0.1667,-2.0,1.0,1.2134,,
2,job,70.0,7,10,3.0,numeric,0.2857,-2.0,1.0,1.1606,,
2,number_credits,40.0,4,10,2.0,numeric,-1.0,-1.0,-1.0,0.0,,
2,other_debtors,0.0,0,10,1.0,categorical,,,,,{},
2,other_installment_plans,30.0,3,10,3.0,numeric,-2.0,-2.0,-2.0,0.0,,
2,people_liable,20.0,2,10,1.0,numeric,1.0,1.0,1.0,0.0,,
2,present_residence,50.0,5,10,4.0,numeric,-1.8,-3.0,-1.0,0.7483,,
2,property,80.0,8,10,4.0,numeric,-2.25,-3.0,-1.0,0.8292,,
2,purpose,80.0,8,10,9.0,numeric,-6.125,-8.0,1.0,2.8477,,
2,savings,70.0,7,10,1.0,numeric,3.5714,1.0,4.0,1.0498,,
2,status,90.0,9,10,1.0,numeric,2.1111,1.0,3.0,0.9938,,
2,telephone,50.0,5,10,2.0,numeric,-1.0,-1.0,-1.0,0.0,,
3,amount,100.0,10,10,1659.0,numeric,41.1,-64.0,109.0,58.5806,,
3,credit_history,100.0,10,10,4.0,numeric,-0.8,-1.0,1.0,0.6,,
3,duration,90.0,9,10,24.0,numeric,-11.3333,-18.0,6.0,6.7495,,
3,employment_duration,80.0,8,10,2.0,numeric,1.75,1.0,3.0,0.8292,,
3,foreign_worker,0.0,0,10,1.0,categorical,,,,,{},
3,housing,80.0,8,10,1.0,numeric,1.0,1.0,1.0,0.0,,
3,installment_rate,70.0,7,10,4.0,numeric,-1.7143,-3.0,-1.0,0.6999,,
3,job,60.0,6,10,2.0,numeric,1.0,1.0,1.0,0.0,,
3,number_credits,10.0,1,10,1.0,numeric,1.0,1.0,1.0,0.0,,
3,other_debtors,20.0,2,10,1.0,numeric,1.5,1.0,2.0,0.5,,
3,other_installment_plans,0.0,0,10,3.0,categorical,,,,,{},
3,people_liable,10.0,1,10,1.0,numeric,1.0,1.0,1.0,0.0,,
3,present_residence,60.0,6,10,2.0,numeric,1.1667,-1.0,2.0,1.0672,,
3,property,80.0,8,10,3.0,numeric,-1.625,-2.0,-1.0,0.4841,,
3,purpose,60.0,6,10,4.0,numeric,-0.1667,-3.0,6.0,2.8529,,
3,savings,10.0,1,10,1.0,numeric,4.0,4.0,4.0,0.0,,
3,status,70.0,7,10,1.0,numeric,2.4286,1.0,3.0,0.9035,,
3,telephone,70.0,7,10,2.0,numeric,-1.0,-1.0,-1.0,0.0,,
4,amount,90.0,9,10,1372.0,numeric,4.2222,-14.0,21.0,14.0932,,
4,credit_history,20.0,2,10,3.0,numeric,0.5,-1.0,2.0,1.5,,
4,duration,80.0,8,10,12.0,numeric,0.125,-6.0,12.0,6.9899,,
4,employment_duration,80.0,8,10,4.0,numeric,-0.875,-3.0,1.0,1.2686,,
4,foreign_worker,10.0,1,10,1.0,numeric,1.0,1.0,1.0,0.0,,
4,housing,10.0,1,10,2.0,numeric,-1.0,-1.0,-1.0,0.0,,
4,installment_rate,50.0,5,10,2.0,numeric,1.8,1.0,2.0,0.4,,
4,job,30.0,3,10,3.0,numeric,0.3333,-1.0,1.0,0.9428,,
4,number_credits,10.0,1,10,1.0,numeric,2.0,2.0,2.0,0.0,,
4,other_debtors,10.0,1,10,1.0,numeric,2.0,2.0,2.0,0.0,,
4,other_installment_plans,30.0,3,10,3.0,numeric,-1.6667,-2.0,-1.0,0.4714,,
4,people_liable,20.0,2,10,1.0,numeric,1.0,1.0,1.0,0.0,,
4,present_residence,70.0,7,10,3.0,numeric,0.0,-2.0,1.0,1.1952,,
4,property,70.0,7,10,3.0,numeric,-1.7143,-2.0,-1.0,0.4518,,
4,purpose,50.0,5,10,1.0,numeric,5.6,2.0,9.0,2.7276,,
4,savings,20.0,2,10,1.0,numeric,4.0,4.0,4.0,0.0,,
4,status,50.0,5,10,1.0,numeric,2.6,1.0,3.0,0.8,,
4,telephone,60.0,6,10,1.0,numeric,1.0,1.0,1.0,0.0,,
5,amount,90.0,9,10,1344.0,numeric,3.4444,-26.0,28.0,19.2649,,
5,credit_history,90.0,9,10,4.0,numeric,-0.8889,-3.0,1.0,1.1967,,
5,duration,60.0,6,10,12.0,numeric,-0.5,-6.0,12.0,5.7951,,
5,employment_duration,70.0,7,10,3.0,numeric,0.4286,-1.0,2.0,1.2936,,
5,foreign_worker,10.0,1,10,1.0,numeric,1.0,1.0,1.0,0.0,,
5,housing,0.0,0,10,2.0,categorical,,,,,{},
5,installment_rate,50.0,5,10,4.0,numeric,-1.8,-2.0,-1.0,0.4,,
5,job,80.0,8,10,2.0,numeric,1.25,1.0,2.0,0.433,,
5,number_credits,70.0,7,10,2.0,numeric,-1.0,-1.0,-1.0,0.0,,
5,other_debtors,0.0,0,10,1.0,categorical,,,,,{},
5,other_installment_plans,20.0,2,10,3.0,numeric,-1.0,-1.0,-1.0,0.0,,
5,people_liable,80.0,8,10,2.0,numeric,-1.0,-1.0,-1.0,0.0,,
5,present_residence,80.0,8,10,2.0,numeric,1.375,-1.0,2.0,0.9922,,
5,property,60.0,6,10,1.0,numeric,2.0,2.0,2.0,0.0,,
5,purpose,40.0,4,10,1.0,numeric,4.5,3.0,9.0,2.5981,,
5,savings,30.0,3,10,1.0,numeric,3.3333,3.0,4.0,0.4714,,
5,status,50.0,5,10,1.0,numeric,1.6,1.0,3.0,0.8,,
5,telephone,40.0,4,10,1.0,numeric,1.0,1.0,1.0,0.0,,
6,amount,90.0,9,10,8229.0,numeric,-361.6667,-820.0,718.0,478.9609,,
6,credit_history,60.0,6,10,3.0,numeric,0.5,-1.0,2.0,1.118,,
6,duration,60.0,6,10,36.0,numeric,-7.3333,-24.0,12.0,10.6249,,
6,employment_duration,90.0,9,10,3.0,numeric,-0.5556,-2.0,2.0,1.4229,,
6,foreign_worker,10.0,1,10,1.0,numeric,1.0,1.0,1.0,0.0,,
6,housing,40.0,4,10,2.0,numeric,-0.5,-1.0,1.0,0.866,,
6,installment_rate,70.0,7,10,2.0,numeric,0.7143,-1.0,2.0,1.1606,,
6,job,40.0,4,10,3.0,numeric,0.25,-2.0,1.0,1.299,,
6,number_credits,30.0,3,10,1.0,numeric,1.0,1.0,1.0,0.0,,
6,other_debtors,10.0,1,10,1.0,numeric,2.0,2.0,2.0,0.0,,
6,other_installment_plans,30.0,3,10,3.0,numeric,-1.6667,-2.0,-1.0,0.4714,,
6,people_liable,70.0,7,10,2.0,numeric,-1.0,-1.0,-1.0,0.0,,
