instance_index,original_test_index,decile1,decile3,fam_inc,lsat,ugpa,gender,race1,fulltime,predicted_class,prediction_score,target_law
0,12823,3.0,1.0,2.0,34.0,3.7,0,0,2.0,1,0.46,0
1,10083,2.0,2.0,4.0,34.0,2.9,0,0,1.0,1,0.78,0
2,3378,2.0,1.0,2.0,36.0,3.4,1,2,1.0,1,0.4,1
3,18000,2.0,1.0,1.0,27.0,2.6,0,3,2.0,1,0.5,1
4,6356,1.0,1.0,3.0,34.0,3.2,0,1,1.0,1,0.6188660424698611,1
5,10500,2.0,2.0,3.0,25.0,2.9,1,0,1.0,1,0.61,0
6,18144,4.0,4.0,3.0,35.0,2.6,0,0,1.0,1,0.54,0
7,4184,9.0,9.0,4.0,40.0,3.3,1,0,1.0,1,0.5958401626042205,0
8,17786,3.0,2.0,3.0,35.5,3.0,0,0,1.0,1,0.46199413992734395,0
9,17231,1.0,1.0,4.0,34.0,3.0,1,0,1.0,1,0.6266793988299305,1
10,10403,1.0,2.0,4.0,31.0,2.9,1,1,1.0,1,0.6793989425540886,1
11,17670,1.0,1.0,2.0,24.0,3.0,1,3,1.0,1,0.6,0
12,7585,1.0,4.0,4.0,25.0,2.4,1,2,2.0,1,0.4088660424698611,0
13,7755,2.0,1.0,4.0,27.0,2.4,1,0,1.0,1,0.46939894255408876,1
14,9250,3.0,1.0,3.0,33.0,3.6,0,0,1.0,1,0.5,0
15,10858,4.0,4.0,1.0,20.0,2.8,0,3,1.0,1,0.58,1
16,16710,2.0,1.0,3.0,25.5,3.0,0,2,1.0,1,0.5847921719631006,1
17,7890,2.0,2.0,3.0,34.5,3.6,0,0,1.0,1,0.41,0
18,15093,8.0,5.0,2.0,21.0,3.1,1,3,1.0,1,0.41,0
19,16640,2.0,3.0,4.0,35.0,3.0,1,0,1.0,1,0.5788387469394389,0
20,3759,1.0,4.0,3.0,24.0,3.3,0,0,2.0,1,0.47,1
21,12658,2.0,2.0,3.0,35.0,3.7,0,0,1.0,1,0.41,0
22,6894,5.0,3.0,3.0,33.0,3.2,1,0,2.0,1,0.63,0
23,13984,1.0,1.0,5.0,31.0,2.7,1,0,1.0,1,0.8,1
24,4388,7.0,7.0,4.0,40.0,3.3,0,0,2.0,1,0.49,0
25,14328,2.0,1.0,3.0,28.0,2.7,1,3,1.0,1,0.9443164581453316,1
26,10855,6.0,2.0,4.0,35.0,2.8,1,0,1.0,1,0.79,1
27,4259,3.0,2.0,3.0,30.5,3.3,0,0,1.0,1,0.79,1
28,18381,2.0,1.0,4.0,32.0,2.6,0,0,1.0,1,0.53,1
29,20092,1.0,1.0,4.0,26.0,2.3,0,3,1.0,1,0.91,1
30,6318,6.0,2.0,3.0,21.3,3.2,0,1,1.0,1,0.55,1
31,12065,1.0,1.0,1.0,26.5,3.9,1,0,1.0,1,0.56,1
32,14644,3.0,2.0,3.0,25.5,3.1,0,0,1.0,1,0.53,0
33,9492,2.0,2.0,3.0,36.0,2.9,1,0,1.0,1,0.4543476100538774,0
34,4133,2.0,2.0,3.0,25.5,3.3,1,2,1.0,1,0.44,1
35,6314,2.0,1.0,2.0,30.0,3.2,1,1,1.0,1,0.5888660424698611,0
36,6661,3.0,2.0,3.0,35.5,3.2,1,0,1.0,1,0.5048631124335331,0
37,10353,3.0,2.0,3.0,29.3,2.9,0,4,1.0,1,0.46,0
38,19741,2.0,2.0,4.0,25.0,2.5,0,3,1.0,1,0.81,0
