instance_index,original_test_index,CF_number,distance_to_original,decile1,decile3,fam_inc,lsat,ugpa,fulltime
0,12823,1,1.7320508075688772,3.0,2.0,3.0,34.0,3.7,1.0
0,12823,2,1.7349351572897471,2.0,1.0,3.0,34.0,3.8,1.0
0,12823,3,1.7349351572897473,3.0,1.0,3.0,33.0,3.6,1.0
1,10083,1,0.10000000000000009,2.0,2.0,4.0,34.0,2.8,1.0
1,10083,2,0.5,2.0,2.0,4.0,34.0,3.4,1.0
1,10083,3,0.5385164807134505,2.0,2.0,4.0,33.5,3.1,1.0
2,3378,1,0.20000000000000018,2.0,1.0,2.0,36.0,3.6,1.0
2,3378,2,1.0,3.0,1.0,2.0,36.0,3.4,1.0
2,3378,3,1.0440306508910548,3.0,1.0,2.0,36.0,3.1,1.0
3,14607,1,0.0,4.0,8.0,4.0,32.0,3.1,1.0
3,14607,2,1.469693845669907,4.0,9.0,3.0,32.0,2.7,1.0
3,14607,3,1.5132745950421556,5.0,7.0,4.0,32.5,3.3,1.0
4,6400,1,0.19999999999999973,4.0,7.0,3.0,37.0,3.4,2.0
4,6400,2,1.004987562112089,4.0,7.0,3.0,37.0,3.3,1.0
4,6400,3,1.4177446878757827,4.0,6.0,4.0,37.0,3.1,2.0
5,18000,1,0.0,2.0,1.0,1.0,27.0,2.6,2.0
5,18000,2,1.7320508075688772,1.0,1.0,2.0,27.0,2.6,1.0
5,18000,3,1.7578395831246945,1.0,1.0,2.0,27.0,2.9,1.0
6,10483,1,0.10000000000000009,2.0,2.0,4.0,34.0,2.8,1.0
6,10483,2,0.5,2.0,2.0,4.0,34.0,3.4,1.0
6,10483,3,0.5385164807134505,2.0,2.0,4.0,33.5,3.1,1.0
7,5752,1,0.0,3.0,3.0,3.0,30.0,3.2,1.0
7,5752,2,0.2999999999999998,3.0,3.0,3.0,30.0,3.5,1.0
7,5752,3,0.5099019513592785,3.0,3.0,3.0,29.5,3.1,1.0
8,16102,1,0.0,1.0,2.0,5.0,37.0,3.1,1.0
8,16102,2,1.0440306508910548,1.0,2.0,4.0,37.0,3.4,1.0
8,16102,3,1.1357816691600546,2.0,2.0,5.0,37.5,3.3,1.0
9,11352,1,0.0,5.0,3.0,3.0,29.0,2.8,1.0
9,11352,2,1.019803902718557,5.0,3.0,3.0,30.0,3.0,1.0
9,11352,3,1.044030650891055,5.0,3.0,3.0,28.0,3.1,1.0
10,10500,1,0.0,2.0,2.0,3.0,25.0,2.9,1.0
10,10500,2,0.5,2.0,2.0,3.0,25.0,2.4,1.0
10,10500,3,0.6403124237432848,2.0,2.0,3.0,25.5,3.3,1.0
11,18144,1,0.0,4.0,4.0,3.0,35.0,2.6,1.0
11,18144,2,0.3999999999999999,4.0,4.0,3.0,35.0,3.0,1.0
11,18144,3,0.6000000000000001,4.0,4.0,3.0,35.0,3.2,1.0
12,15612,1,0.0,1.0,2.0,4.0,40.0,3.1,1.0
12,15612,2,1.004987562112089,1.0,2.0,4.0,41.0,3.2,1.0
12,15612,3,1.004987562112089,2.0,2.0,4.0,40.0,3.2,1.0
13,4184,1,0.19999999999999973,9.0,9.0,4.0,40.0,3.1,1.0
13,4184,2,0.30000000000000027,9.0,9.0,4.0,40.0,3.6,1.0
13,4184,3,0.5,9.0,9.0,4.0,40.0,3.8,1.0
14,10723,1,0.30000000000000027,3.0,4.0,4.0,40.0,3.1,1.0
14,10723,2,0.6000000000000001,3.0,4.0,4.0,40.0,3.4,1.0
