instance_index,feature_name,feature_type,percentage_changed,num_changed,num_total,original_value,average_change,min_change,max_change,std_change,distribution,unique_values
0,decile1,numerical,33.33,1,3,3.0,-1.0,-1.0,-1.0,0.0,,
0,decile3,numerical,33.33,1,3,1.0,1.0,1.0,1.0,0.0,,
0,fam_inc,categorical,100.0,3,3,2.0,,,,,"{""3.0"": 3}",3.0
0,fulltime,categorical,100.0,3,3,2.0,,,,,"{""1.0"": 3}",1.0
0,lsat,numerical,33.33,1,3,34.0,-1.0,-1.0,-1.0,0.0,,
0,ugpa,numerical,66.67,2,3,3.7,-0.0,-0.1,0.1,0.1,,
1,decile1,numerical,0.0,0,3,2.0,,,,,,
1,decile3,numerical,0.0,0,3,2.0,,,,,,
1,fam_inc,categorical,0.0,0,3,4.0,,,,,{},
1,fulltime,categorical,0.0,0,3,1.0,,,,,{},
1,lsat,numerical,33.33,1,3,34.0,-0.5,-0.5,-0.5,0.0,,
1,ugpa,numerical,100.0,3,3,2.9,0.2,-0.1,0.5,0.2449,,
2,decile1,numerical,66.67,2,3,2.0,1.0,1.0,1.0,0.0,,
2,decile3,numerical,0.0,0,3,1.0,,,,,,
2,fam_inc,categorical,0.0,0,3,2.0,,,,,{},
2,fulltime,categorical,0.0,0,3,1.0,,,,,{},
2,lsat,numerical,0.0,0,3,36.0,,,,,,
2,ugpa,numerical,66.67,2,3,3.4,-0.05,-0.3,0.2,0.25,,
3,decile1,numerical,33.33,1,3,4.0,1.0,1.0,1.0,0.0,,
3,decile3,numerical,66.67,2,3,8.0,0.0,-1.0,1.0,1.0,,
3,fam_inc,categorical,33.33,1,3,4.0,,,,,"{""3.0"": 1}",3.0
3,fulltime,categorical,0.0,0,3,1.0,,,,,{},
3,lsat,numerical,33.33,1,3,32.0,0.5,0.5,0.5,0.0,,
3,ugpa,numerical,66.67,2,3,3.1,-0.1,-0.4,0.2,0.3,,
4,decile1,numerical,0.0,0,3,4.0,,,,,,
4,decile3,numerical,33.33,1,3,7.0,-1.0,-1.0,-1.0,0.0,,
4,fam_inc,categorical,33.33,1,3,3.0,,,,,"{""4.0"": 1}",4.0
4,fulltime,categorical,33.33,1,3,2.0,,,,,"{""1.0"": 1}",1.0
4,lsat,numerical,0.0,0,3,37.0,,,,,,
4,ugpa,numerical,100.0,3,3,3.2,0.0667,-0.1,0.2,0.1247,,
5,decile1,numerical,66.67,2,3,2.0,-1.0,-1.0,-1.0,0.0,,
5,decile3,numerical,0.0,0,3,1.0,,,,,,
5,fam_inc,categorical,66.67,2,3,1.0,,,,,"{""2.0"": 2}",2.0
5,fulltime,categorical,66.67,2,3,2.0,,,,,"{""1.0"": 2}",1.0
5,lsat,numerical,0.0,0,3,27.0,,,,,,
5,ugpa,numerical,33.33,1,3,2.6,0.3,0.3,0.3,0.0,,
6,decile1,numerical,0.0,0,3,2.0,,,,,,
6,decile3,numerical,0.0,0,3,2.0,,,,,,
6,fam_inc,categorical,0.0,0,3,4.0,,,,,{},
6,fulltime,categorical,0.0,0,3,1.0,,,,,{},
6,lsat,numerical,33.33,1,3,34.0,-0.5,-0.5,-0.5,0.0,,
6,ugpa,numerical,100.0,3,3,2.9,0.2,-0.1,0.5,0.2449,,
7,decile1,numerical,0.0,0,3,3.0,,,,,,
7,decile3,numerical,0.0,0,3,3.0,,,,,,
7,fam_inc,categorical,0.0,0,3,3.0,,,,,{},
7,fulltime,categorical,0.0,0,3,1.0,,,,,{},
7,lsat,numerical,33.33,1,3,30.0,-0.5,-0.5,-0.5,0.0,,
7,ugpa,numerical,66.67,2,3,3.2,0.1,-0.1,0.3,0.2,,
8,decile1,numerical,33.33,1,3,1.0,1.0,1.0,1.0,0.0,,
8,decile3,numerical,0.0,0,3,2.0,,,,,,
8,fam_inc,categorical,33.33,1,3,5.0,,,,,"{""4.0"": 1}",4.0
8,fulltime,categorical,0.0,0,3,1.0,,,,,{},
8,lsat,numerical,33.33,1,3,37.0,0.5,0.5,0.5,0.0,,
8,ugpa,numerical,66.67,2,3,3.1,0.25,0.2,0.3,0.05,,
9,decile1,numerical,0.0,0,3,5.0,,,,,,
9,decile3,numerical,0.0,0,3,3.0,,,,,,
9,fam_inc,categorical,0.0,0,3,3.0,,,,,{},
9,fulltime,categorical,0.0,0,3,1.0,,,,,{},
9,lsat,numerical,66.67,2,3,29.0,0.0,-1.0,1.0,1.0,,
9,ugpa,numerical,66.67,2,3,2.8,0.25,0.2,0.3,0.05,,
10,decile1,numerical,0.0,0,3,2.0,,,,,,
10,decile3,numerical,0.0,0,3,2.0,,,,,,
10,fam_inc,categorical,0.0,0,3,3.0,,,,,{},
10,fulltime,categorical,0.0,0,3,1.0,,,,,{},
10,lsat,numerical,33.33,1,3,25.0,0.5,0.5,0.5,0.0,,
10,ugpa,numerical,66.67,2,3,2.9,-0.05,-0.5,0.4,0.45,,
11,decile1,numerical,0.0,0,3,4.0,,,,,,
11,decile3,numerical,0.0,0,3,4.0,,,,,,
11,fam_inc,categorical,0.0,0,3,3.0,,,,,{},
11,fulltime,categorical,0.0,0,3,1.0,,,,,{},
11,lsat,numerical,0.0,0,3,35.0,,,,,,
11,ugpa,numerical,66.67,2,3,2.6,0.5,0.4,0.6,0.1,,
12,decile1,numerical,33.33,1,3,1.0,1.0,1.0,1.0,0.0,,
12,decile3,numerical,0.0,0,3,2.0,,,,,,
12,fam_inc,categorical,0.0,0,3,4.0,,,,,{},
12,fulltime,categorical,0.0,0,3,1.0,,,,,{},
12,lsat,numerical,33.33,1,3,40.0,1.0,1.0,1.0,0.0,,
12,ugpa,numerical,66.67,2,3,3.1,0.1,0.1,0.1,0.0,,
13,decile1,numerical,0.0,0,3,9.0,,,,,,
13,decile3,numerical,0.0,0,3,9.0,,,,,,
13,fam_inc,categorical,0.0,0,3,4.0,,,,,{},
13,fulltime,categorical,0.0,0,3,1.0,,,,,{},
13,lsat,numerical,0.0,0,3,40.0,,,,,,
13,ugpa,numerical,100.0,3,3,3.3,0.2,-0.2,0.5,0.2944,,
14,decile1,numerical,0.0,0,3,3.0,,,,,,
14,decile3,numerical,0.0,0,3,4.0,,,,,,
14,fam_inc,categorical,0.0,0,3,4.0,,,,,{},
14,fulltime,categorical,0.0,0,3,1.0,,,,,{},
14,lsat,numerical,33.33,1,3,40.0,1.0,1.0,1.0,0.0,,
14,ugpa,numerical,66.67,2,3,2.8,0.45,0.3,0.6,0.15,,
15,decile1,numerical,0.0,0,3,3.0,,,,,,
15,decile3,numerical,0.0,0,3,3.0,,,,,,
15,fam_inc,categorical,0.0,0,3,4.0,,,,,{},
15,fulltime,categorical,0.0,0,3,1.0,,,,,{},
15,lsat,numerical,0.0,0,3,34.0,,,,,,
15,ugpa,numerical,100.0,3,3,2.6,0.4,0.1,0.7,0.2449,,
16,decile1,numerical,0.0,0,3,7.0,,,,,,
16,decile3,numerical,0.0,0,3,7.0,,,,,,
16,fam_inc,categorical,0.0,0,3,4.0,,,,,{},
16,fulltime,categorical,0.0,0,3,1.0,,,,,{},
