instance_index,original_test_index,predicted_probability,SHAP_decile1,SHAP_decile3,SHAP_fam_inc,SHAP_lsat,SHAP_ugpa,SHAP_gender,SHAP_race1,SHAP_fulltime
0,12823,0.46,8.288508768217184e-15,7.147060721024445e-15,5.533767888366015e-15,8.11156697366755e-15,4.989064716909297e-15,2.263543085606612e-16,3.793840241961277e-15,1.0564465968698755e-15
1,10083,0.78,9.103828801926284e-15,7.799316747991725e-15,6.058521739848999e-15,7.174816296640074e-15,4.454769886308441e-15,2.185751579730777e-16,4.017619570362285e-15,1.3205582460873444e-16
2,3378,0.4,7.365744299214771e-15,1.1088352458443751e-14,5.84601811404184e-15,4.760081218080359e-15,4.9404924595819466e-15,1.6306400674181987e-16,5.5441762292218755e-15,9.454242944073599e-17
3,18000,0.5,7.507883204027621e-15,7.771561172376096e-15,3.524958103184872e-15,7.558190184830949e-15,3.3792413312028202e-15,9.107298248878237e-18,5.124373148035488e-15,9.08995101411847e-16
4,6356,0.6188660424698611,7.237266341775239e-15,8.090750291955828e-15,5.870304242705515e-15,7.625844400394044e-15,5.280498260873401e-15,3.434752482434078e-16,5.218048215738236e-15,5.637851296924623e-17
5,10500,0.61,7.585945760446577e-15,9.658940314238862e-15,6.914607775243553e-15,7.78543896018391e-15,3.837208328860697e-15,2.255140518769849e-16,3.5648567431323386e-15,2.662800535624399e-16
6,18144,0.54,7.516556821407505e-15,1.0644263248593688e-14,5.962244586932286e-15,6.418476861114186e-15,5.134781488891349e-15,1.0061396160665481e-15,4.400126096815171e-15,2.90132501357121e-16
7,4184,0.5958401626042205,8.112109074753793e-15,1.2122247650125928e-14,6.116634976294222e-15,5.266620473065586e-15,4.676814491233472e-15,-1.700029006457271e-16,4.189357194483989e-15,8.890457814381136e-18
8,17786,0.4619941399273439,8.201772594418344e-15,7.28583859910259e-15,6.094083571106523e-15,7.93809462606987e-15,5.204170427930421e-15,4.3194614551822497e-16,4.0614213381307e-15,1.3964523981613297e-16
9,17231,0.6266793988299305,7.563394355258879e-15,6.938893903907228e-15,6.2922757282368735e-15,6.689093723366568e-15,4.760081218080359e-15,4.0576266305270003e-17,3.3410774147313305e-15,1.8778381627448937e-16
10,10403,0.6793989425540886,7.820133429703446e-15,1.054017984003508e-14,5.991734886023892e-15,7.559924908306925e-15,3.8979236505198855e-15,1.1449174941446927e-16,6.737665980693919e-15,2.723515857283587e-16
11,17670,0.6,7.174816296640074e-15,9.020562075079397e-15,5.592748486549226e-15,7.70911112724093e-15,4.052314039881821e-15,2.3765711620882257e-16,5.022891824690845e-15,1.0668549377257364e-16
12,7585,0.4088660424698611,7.414208136324874e-15,8.909539772616881e-15,5.729791641151394e-15,5.613565168260948e-15,3.256075964408467e-15,-1.1449174941446927e-16,5.434888650235337e-15,1.2247147740396258e-15
13,7755,0.4693989425540887,7.776765342804026e-15,7.840950111415168e-15,6.5693978035241685e-15,7.740336149808513e-15,4.789571517171964e-15,8.881784197001252e-16,3.316791286067655e-15,1.700029006457271e-16
14,9250,0.5,7.733397255904606e-15,1.0533240946131173e-14,6.486131076677282e-15,8.19830314746639e-15,3.400058012914542e-15,5.724587470723463e-17,3.5752650839881994e-15,2.5326962749261384e-16
15,10858,0.58,6.886852199627924e-15,1.0489872859231752e-14,5.384581669432009e-15,4.8155923693116165e-15,4.1494585545365226e-15,5.724587470723463e-17,4.767020111984266e-15,1.1796119636642288e-16
16,16710,0.5847921719631006,7.082875952413303e-15,9.395262345890387e-15,5.827369836675089e-15,7.490535969267853e-15,4.28129753871076e-15,8.07188517415458e-17,4.5727310826748635e-15,1.6479873021779667e-16
17,7890,0.41,7.546047120499111e-15,8.451572774959004e-15,6.182120787512346e-15,6.9735883734267645e-15,2.4841240175987878e-15,6.973588373426765e-16,3.944761184371259e-15,2.1163626406917047e-16
18,15093,0.41,7.514822097931528e-15,1.2635725799015063e-14,5.310855921702995e-15,4.218847493575595e-15,2.9073965457371287e-15,-7.494005416219807e-16,4.309053114326389e-15,6.071532165918825e-18
19,16640,0.5788387469394389,9.645062526431047e-15,8.971989817752046e-15,6.162821988842104e-15,6.6509298068950784e-15,5.648259637780484e-15,4.49293380277993e-16,4.368901074247589e-15,2.224782857940255e-16
20,3759,0.47,6.7758298971654085e-15,1.0512424264419451e-14,5.503843908405415e-15,7.993605777301127e-15,4.461708780212348e-15,-9.454242944073599e-17,4.201500258815827e-15,8.916478666520788e-16
21,12658,0.41,7.795847301039771e-15,8.31279489688086e-15,6.162605148407607e-15,7.577272143066693e-15,1.582067810090848e-15,3.0357660829594124e-16,3.986394547794703e-15,2.463307335887066e-16
22,6894,0.63,8.390857453299816e-15,9.894862706971708e-15,5.43835809718729e-15,6.734196533741965e-15,3.847616669716558e-15,5.551115123125783e-17,4.090477956353311e-15,4.996003610813204e-16
23,13984,0.8,8.090750291955828e-15,6.564193633096238e-15,6.456640777585676e-15,7.623242315180079e-15,4.956104970865738e-15,3.5388358909926865e-16,3.3133218391157016e-15,1.6501557065229377e-16
24,4388,0.49,9.294648384283732e-15,1.1882855810441129e-14,5.415806691999592e-15,4.5102810375396984e-15,1.5994150448506161e-15,-8.396061623727746e-16,4.03670152859803e-15,-3.191891195797325e-16
25,14328,0.9443164581453316,6.827871601444713e-15,1.008915173628111e-14,5.839079220137933e-15,6.904199434387692e-15,4.079202253759462e-15,9.627715291671279e-17,5.127842594987442e-15,2.441623292437356e-16
26,10855,0.79,9.661542399452827e-15,1.0241807402167069e-14,6.265821195228227e-15,6.1010224650104306e-15,4.2674197509029455e-15,1.734723475976807e-17,4.184153024056059e-15,1.4625887306829455e-16
27,4259,0.79,7.369105325949477e-15,7.105427357601002e-15,6.2155142144249e-15,7.99707522425308e-15,4.784367346744034e-15,9.298117831235686e-16,3.408731630294426e-15,1.6750923564901044e-16
28,18381,0.53,7.577272143066693e-15,7.0637939941775585e-15,6.897260540483785e-15,8.916478666520788e-15,5.953570969552402e-15,6.453171330633722e-16,3.3792413312028202e-15,8.413408858487514e-17
29,20092,0.91,7.251144129583054e-15,7.868705687030797e-15,6.05765437811101e-15,7.119305145408816e-15,3.875372245332187e-15,7.112366251504909e-17,5.169475958410885e-15,1.8691645453650096e-16
30,6318,0.55,9.76302372279747e-15,1.021405182655144e-14,5.878977860085399e-15,9.534040223968532e-15,4.28129753871076e-15,-1.0842021724855044e-16,5.0003404195031464e-15,2.250803710079907e-16
31,12065,0.56,8.097689185859736e-15,7.16093850883226e-15,5.981326545168031e-15,8.965050923848139e-15,-3.7470027081099033e-16,1.3530843112619095e-16,3.3931191190106347e-15,2.211772431870429e-16
32,14644,0.53,7.2476746826311e-15,1.1386724896311762e-14,6.0279201335305954e-15,9.159339953157541e-15,5.523359547510154e-15,2.8449465006019636e-16,3.4573038876217765e-15,1.5829351718288365e-16
33,9492,0.4543476100538774,7.98146271296929e-15,9.020562075079397e-15,6.078471059822732e-15,6.522560269672795e-15,4.669875597329565e-15,4.432218481120742e-16,4.08006961549745e-15,2.931682674400804e-16
34,4133,0.44,6.7090430433403014e-15,1.013772399360846e-14,5.873773689657469e-15,7.93809462606987e-15,4.5102810375396984e-15,3.400058012914542e-16,5.027445473815284e-15,-1.5265566588595902e-16
35,6314,0.5888660424698611,7.121039868884793e-15,1.1018963519404679e-14,5.794843771500524e-15,7.225123277443402e-15,4.253541963095131e-15,-3.608224830031759e-16,4.876741371839799e-15,2.957703526540456e-16
36,6661,0.5048631124335331,6.591949208711867e-15,7.341349750333848e-15,6.192962809237201e-15,6.217248937900877e-15,3.712308238590367e-15,4.961309141293668e-16,4.129509234562789e-15,2.892651396191326e-16
37,10353,0.46,7.042977312465837e-15,9.936496070395151e-15,5.932320606971686e-15,7.577272143066693e-15,4.808653475407709e-15,2.445960101127298e-16,4.9057979900624105e-15,1.8388068845354155e-16
38,19741,0.81,7.119305145408816e-15,1.0130785099704553e-14,5.943162628696541e-15,8.784639682346551e-15,3.858025010572419e-15,-6.288372600415926e-18,5.93275428784068e-15,1.7694179454963432e-16
39,18011,0.97,6.904199434387692e-15,6.661338147750939e-15,5.6690763194922056e-15,6.480926906249351e-15,4.014150123410332e-15,5.681219383824043e-17,4.947431353485854e-15,1.231653667943533e-16
40,2276,0.7156269923246583,7.598088824778415e-15,7.28583859910259e-15,6.316128176031555e-15,8.396061623727746e-15,3.837208328860697e-15,-2.6020852139652106e-18,5.027228633380787e-15,2.1423834928313568e-16
41,10037,0.5493989425540886,8.118505867571457e-15,1.3933298959045715e-14,5.72111802377151e-15,6.369904603786836e-15,2.6194324487249787e-15,-5.863365348801608e-16,3.751041361202412e-15,1.196959198423997e-16
42,18437,0.66,7.289308046054543e-15,6.8833827526759706e-15,6.404599073306372e-15,7.174816296640074e-15,4.586608870482678e-15,1.48318857196017e-16,5.2388648974499574e-15,1.691355389077387e-16
43,18167,0.42,7.490535969267853e-15,9.150341075125912e-15,3.7539416020138106e-15,7.070732888081466e-15,3.625572064791527e-15,-4.718447854656915e-16,4.749672877224498e-15,1.0384488408066161e-15
44,16278,0.89,9.450773497121645e-15,7.049916206369744e-15,6.3352101342672995e-15,7.771561172376096e-15,4.881511861398735e-15,2.671474153004283e-16,4.250072516143177e-15,1.7824283715661693e-16
45,11598,0.5562036040933479,7.431555371084642e-15,7.646661082105766e-15,6.094950932844512e-15,6.238065619612598e-15,4.187622471008012e-15,6.071532165918825e-16,4.195428726649908e-15,2.96637714392034e-16
