instance_index,original_test_index,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,MonthlySalary,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards_Wages_Satisfaction,Get_Deserved_Promotion,Training_programs_During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,predicted_class,prediction_score,target_saudi
0,983,0,0,0,1,0,2,1,1,1,0,0,0,0,1,1,0,1,1,1,2,1,2,1,1,0,0,1,1,1,1,0.85,1
1,1057,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,1,1,2,0,1,1,0.6,1
2,955,0,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0.58,1
3,405,0,2,1,1,0,5,1,1,1,1,2,1,0,3,1,0,0,1,2,1,0,0,1,1,0,0,1,1,1,1,0.54,1
4,305,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,2,1,1,1,0.82,1
5,929,1,1,1,1,1,4,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,2,1,1,0.64,1
6,512,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0.63,1
7,984,1,1,1,1,1,4,3,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0.7,1
8,1166,0,0,1,0,0,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0.51,0
9,801,0,0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,2,2,1,0,0,0,0,1,1,0.6,0
10,935,0,0,1,0,0,2,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0.69,1
11,477,1,2,2,2,1,1,2,1,1,0,0,1,1,3,1,1,2,1,2,1,2,2,0,2,0,0,2,1,1,1,0.79,1
12,398,0,1,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2,0,0,1,2,1,1,0.74,1
13,160,0,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0.65,1
14,603,0,1,1,1,1,1,1,1,0,0,0,0,0,2,1,0,1,1,0,2,0,1,0,1,0,0,1,1,0,1,0.51,1
15,190,0,1,1,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.54,1
16,1004,1,1,1,1,0,2,1,1,1,1,2,0,0,1,1,0,1,0,2,1,2,1,2,2,1,0,1,0,1,1,0.75,1
17,285,1,0,0,1,0,4,0,1,1,1,2,0,1,1,1,0,1,1,1,2,0,1,1,1,0,0,2,1,0,1,0.51,1
18,207,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,2,1,1,0.79,1
19,347,1,1,1,1,0,1,2,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,0,0,2,0,1,1,0.86,1
20,1107,1,1,1,2,0,1,1,1,0,1,2,0,0,0,0,0,0,0,1,1,2,1,2,2,0,0,0,0,1,1,0.92,1
