instance_index,feature_name,feature_type,percentage_changed,num_changed,num_total,original_value,distribution,unique_values
0,Academic_degree,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0
0,Age,categorical,0.0,0,3,0.0,{},
0,Bonus,categorical,66.67,2,3,1.0,"{""0.0"": 2}",0.0
0,Business_Travel,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
0,Distance_to_work,categorical,66.67,2,3,1.0,"{""2.0"": 1, ""0.0"": 1}","2.0,0.0"
0,Emotional_Commitment,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0
0,Environment_Satisfaction,categorical,0.0,0,3,1.0,{},
0,Gender,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0
0,Get_Deserved_Promotion,categorical,0.0,0,3,0.0,{},
0,Health_Issues,categorical,0.0,0,3,0.0,{},
0,Job_Engagement,categorical,66.67,2,3,2.0,"{""1.0"": 2}",1.0
0,Job_Opportunities,categorical,100.0,3,3,1.0,"{""0.0"": 3}",0.0
0,Job_Satisfaction,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0
0,Job_Stability,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0
0,Job_Support,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0
0,MedicalInsurance,categorical,0.0,0,3,1.0,{},
0,MonthlySalary,categorical,0.0,0,3,1.0,{},
0,OverTime,categorical,0.0,0,3,0.0,{},
0,Payment_Overtime,categorical,0.0,0,3,0.0,{},
0,Physical_Stress,categorical,66.67,2,3,1.0,"{""0.0"": 1, ""2.0"": 1}","0.0,2.0"
0,Psychological_Exhaustion,categorical,33.33,1,3,1.0,"{""2.0"": 1}",2.0
0,Recognition,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0
0,Rewards_Wages_Satisfaction,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
0,Sector,categorical,33.33,1,3,2.0,"{""1.0"": 1}",1.0
0,Training_programs_During_last_three_years,categorical,33.33,1,3,1.0,"{""2.0"": 1}",2.0
0,Useful_Training_Programs,categorical,0.0,0,3,1.0,{},
0,Work_Live_Balance,categorical,66.67,2,3,2.0,"{""1.0"": 2}",1.0
0,Years_Experience,categorical,66.67,2,3,1.0,"{""0.0"": 2}",0.0
0,Years_experience_lastorganization,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
1,Academic_degree,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0
1,Age,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
1,Bonus,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
1,Business_Travel,categorical,0.0,0,3,0.0,{},
1,Distance_to_work,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0
1,Emotional_Commitment,categorical,66.67,2,3,2.0,"{""1.0"": 2}",1.0
1,Environment_Satisfaction,categorical,66.67,2,3,2.0,"{""1.0"": 2}",1.0
1,Gender,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
1,Get_Deserved_Promotion,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0
1,Health_Issues,categorical,100.0,3,3,1.0,"{""0.0"": 3}",0.0
1,Job_Engagement,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0
1,Job_Opportunities,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0
1,Job_Satisfaction,categorical,100.0,3,3,0.0,"{""1.0"": 3}",1.0
1,Job_Stability,categorical,0.0,0,3,1.0,{},
1,Job_Support,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0
1,MedicalInsurance,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
1,MonthlySalary,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
1,OverTime,categorical,0.0,0,3,0.0,{},
1,Payment_Overtime,categorical,0.0,0,3,0.0,{},
1,Physical_Stress,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
1,Psychological_Exhaustion,categorical,66.67,2,3,2.0,"{""1.0"": 2}",1.0
1,Recognition,categorical,100.0,3,3,0.0,"{""1.0"": 3}",1.0
1,Rewards_Wages_Satisfaction,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0
1,Sector,categorical,33.33,1,3,1.0,"{""2.0"": 1}",2.0
1,Training_programs_During_last_three_years,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
1,Useful_Training_Programs,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
1,Work_Live_Balance,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
1,Years_Experience,categorical,0.0,0,3,0.0,{},
1,Years_experience_lastorganization,categorical,0.0,0,3,0.0,{},
2,Academic_degree,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0
2,Age,categorical,66.67,2,3,1.0,"{""0.0"": 2}",0.0
2,Bonus,categorical,0.0,0,3,1.0,{},
2,Business_Travel,categorical,0.0,0,3,0.0,{},
2,Distance_to_work,categorical,0.0,0,3,1.0,{},
2,Emotional_Commitment,categorical,0.0,0,3,1.0,{},
2,Environment_Satisfaction,categorical,0.0,0,3,1.0,{},
2,Gender,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
2,Get_Deserved_Promotion,categorical,0.0,0,3,1.0,{},
2,Health_Issues,categorical,66.67,2,3,1.0,"{""0.0"": 2}",0.0
2,Job_Engagement,categorical,0.0,0,3,1.0,{},
2,Job_Opportunities,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0
2,Job_Satisfaction,categorical,66.67,2,3,1.0,"{""0.0"": 1, ""2.0"": 1}","0.0,2.0"
2,Job_Stability,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0
2,Job_Support,categorical,0.0,0,3,1.0,{},
2,MedicalInsurance,categorical,0.0,0,3,1.0,{},
2,MonthlySalary,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0
2,OverTime,categorical,0.0,0,3,1.0,{},
2,Payment_Overtime,categorical,66.67,2,3,1.0,"{""2.0"": 2}",2.0
2,Physical_Stress,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
2,Psychological_Exhaustion,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
2,Recognition,categorical,0.0,0,3,1.0,{},
2,Rewards_Wages_Satisfaction,categorical,0.0,0,3,1.0,{},
2,Sector,categorical,66.67,2,3,2.0,"{""3.0"": 1, ""1.0"": 1}","3.0,1.0"
2,Training_programs_During_last_three_years,categorical,66.67,2,3,0.0,"{""2.0"": 2}",2.0
2,Useful_Training_Programs,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0
2,Work_Live_Balance,categorical,0.0,0,3,1.0,{},
2,Years_Experience,categorical,66.67,2,3,1.0,"{""0.0"": 2}",0.0
2,Years_experience_lastorganization,categorical,66.67,2,3,1.0,"{""0.0"": 2}",0.0
3,Academic_degree,categorical,0.0,0,3,1.0,{},
3,Age,categorical,100.0,3,3,2.0,"{""1.0"": 3}",1.0
3,Bonus,categorical,0.0,0,3,1.0,{},
3,Business_Travel,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
3,Distance_to_work,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
3,Emotional_Commitment,categorical,0.0,0,3,2.0,{},
3,Environment_Satisfaction,categorical,33.33,1,3,1.0,"{""2.0"": 1}",2.0
3,Gender,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
3,Get_Deserved_Promotion,categorical,100.0,3,3,0.0,"{""1.0"": 3}",1.0
3,Health_Issues,categorical,0.0,0,3,0.0,{},
3,Job_Engagement,categorical,0.0,0,3,1.0,{},
3,Job_Opportunities,categorical,100.0,3,3,1.0,"{""0.0"": 3}",0.0
3,Job_Satisfaction,categorical,0.0,0,3,1.0,{},
3,Job_Stability,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0
3,Job_Support,categorical,100.0,3,3,0.0,"{""1.0"": 2, ""2.0"": 1}","1.0,2.0"
3,MedicalInsurance,categorical,0.0,0,3,1.0,{},
3,MonthlySalary,categorical,33.33,1,3,1.0,"{""2.0"": 1}",2.0
3,OverTime,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0
3,Payment_Overtime,categorical,66.67,2,3,2.0,"{""1.0"": 1, ""0.0"": 1}","1.0,0.0"
3,Physical_Stress,categorical,66.67,2,3,1.0,"{""0.0"": 1, ""2.0"": 1}","0.0,2.0"
3,Psychological_Exhaustion,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0
3,Recognition,categorical,0.0,0,3,1.0,{},
3,Rewards_Wages_Satisfaction,categorical,0.0,0,3,1.0,{},
3,Sector,categorical,66.67,2,3,5.0,"{""3.0"": 1, ""4.0"": 1}","3.0,4.0"
3,Training_programs_During_last_three_years,categorical,100.0,3,3,3.0,"{""2.0"": 2, ""1.0"": 1}","2.0,1.0"
3,Useful_Training_Programs,categorical,0.0,0,3,1.0,{},
3,Work_Live_Balance,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
3,Years_Experience,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0
3,Years_experience_lastorganization,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0
4,Academic_degree,categorical,66.67,2,3,1.0,"{""0.0"": 2}",0.0
4,Age,categorical,0.0,0,3,0.0,{},
4,Bonus,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
4,Business_Travel,categorical,0.0,0,3,0.0,{},
4,Distance_to_work,categorical,0.0,0,3,1.0,{},
4,Emotional_Commitment,categorical,33.33,1,3,2.0,"{""1.0"": 1}",1.0
4,Environment_Satisfaction,categorical,100.0,3,3,2.0,"{""1.0"": 3}",1.0
4,Gender,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0
