instance_index,original_test_index,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,MonthlySalary,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards_Wages_Satisfaction,Get_Deserved_Promotion,Training_programs_During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,predicted_class,prediction_score,target_saudi
0,823,1,1,2,1,1,3,1,1,1,1,2,1,1,3,1,0,2,1,2,1,1,1,0,0,1,0,1,2,1,0,0.02,0
1,1049,0,0,0,0,0,2,0,1,1,1,2,0,1,0,0,0,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0.17,0
2,294,0,2,0,1,0,4,0,1,0,0,2,1,1,1,1,0,2,1,2,0,2,0,0,0,1,0,2,2,0,0,0.31,1
3,684,1,0,1,0,0,1,0,1,0,1,2,0,0,1,1,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0.33,1
4,879,1,0,0,0,0,3,1,1,1,0,1,1,0,2,1,1,1,1,2,1,2,0,2,0,1,0,2,2,1,0,0.25,0
5,324,0,1,1,2,2,2,2,0,0,0,0,1,1,1,1,0,0,0,2,0,2,0,2,2,1,0,1,1,1,0,0.28,0
6,1109,1,0,1,0,0,2,1,1,0,1,2,0,0,0,0,0,0,0,1,1,2,2,1,2,0,0,0,0,0,0,0.34,1
7,725,0,1,1,1,1,1,1,1,1,1,2,1,1,3,1,0,2,1,2,1,1,1,1,0,1,0,2,2,0,0,0.0,0
8,683,1,0,1,2,2,3,0,1,1,0,0,1,1,1,1,0,2,1,2,0,0,0,2,0,1,0,1,2,0,0,0.06,0
9,824,1,1,2,1,1,3,1,1,1,1,2,1,1,3,1,0,2,1,2,1,1,1,0,1,1,0,1,2,0,0,0.03,0
10,762,0,0,1,1,1,3,1,0,0,0,1,1,1,2,1,0,2,1,2,1,1,1,1,1,1,0,1,1,0,0,0.0,0
11,851,0,1,1,0,0,3,0,1,1,1,2,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0.2,1
