instance_index,feature_name,feature_type,percentage_changed,num_changed,num_total,original_value,distribution,unique_values,average_change,min_change,max_change,std_change
0,Dalc,numerical,0.0,0,3,1.0,,,,,,
0,Fedu,categorical,0.0,0,3,1.0,{},,,,,
0,Fjob_at_home,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
0,Fjob_health,categorical,0.0,0,3,0.0,{},,,,,
0,Fjob_other,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
0,Fjob_services,categorical,0.0,0,3,0.0,{},,,,,
0,Fjob_teacher,categorical,0.0,0,3,0.0,{},,,,,
0,Medu,categorical,0.0,0,3,1.0,{},,,,,
0,Mjob_at_home,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
0,Mjob_health,categorical,0.0,0,3,0.0,{},,,,,
0,Mjob_other,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
0,Mjob_services,categorical,0.0,0,3,0.0,{},,,,,
0,Mjob_teacher,categorical,0.0,0,3,0.0,{},,,,,
0,Pstatus,categorical,0.0,0,3,1.0,{},,,,,
0,Walc,numerical,33.33,1,3,1.0,,,1.0,1.0,1.0,0.0
0,absences,numerical,33.33,1,3,9.0,,,1.0,1.0,1.0,0.0
0,activities,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
0,age,numerical,66.67,2,3,18.0,,,-1.0,-1.0,-1.0,0.0
0,failures,numerical,66.67,2,3,1.0,,,-1.0,-1.0,-1.0,0.0
0,famrel,numerical,0.0,0,3,4.0,,,,,,
0,famsize,categorical,0.0,0,3,0.0,{},,,,,
0,famsup,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
0,freetime,numerical,0.0,0,3,3.0,,,,,,
0,goout,numerical,0.0,0,3,2.0,,,,,,
0,guardian_father,categorical,0.0,0,3,0.0,{},,,,,
0,guardian_mother,categorical,0.0,0,3,1.0,{},,,,,
0,guardian_other,categorical,0.0,0,3,0.0,{},,,,,
0,health,numerical,33.33,1,3,5.0,,,-1.0,-1.0,-1.0,0.0
0,higher,categorical,0.0,0,3,1.0,{},,,,,
0,internet,categorical,66.67,2,3,1.0,"{""0.0"": 2}",0.0,,,,
0,nursery,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
0,paid,categorical,0.0,0,3,0.0,{},,,,,
0,reason_course,categorical,66.67,2,3,0.0,"{""1.0"": 2}",1.0,,,,
0,reason_home,categorical,0.0,0,3,0.0,{},,,,,
0,reason_other,categorical,66.67,2,3,1.0,"{""0.0"": 2}",0.0,,,,
0,reason_reputation,categorical,0.0,0,3,0.0,{},,,,,
0,romantic,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
0,schoolsup,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
0,sex,categorical,0.0,0,3,0.0,{},,,,,
0,studytime,categorical,33.33,1,3,2.0,"{""1.0"": 1}",1.0,,,,
0,traveltime,categorical,0.0,0,3,1.0,{},,,,,
1,Dalc,numerical,66.67,2,3,2.0,,,-1.0,-1.0,-1.0,0.0
1,Fedu,categorical,33.33,1,3,2.0,"{""1.0"": 1}",1.0,,,,
1,Fjob_at_home,categorical,0.0,0,3,0.0,{},,,,,
1,Fjob_health,categorical,0.0,0,3,0.0,{},,,,,
1,Fjob_other,categorical,0.0,0,3,1.0,{},,,,,
1,Fjob_services,categorical,0.0,0,3,0.0,{},,,,,
1,Fjob_teacher,categorical,0.0,0,3,0.0,{},,,,,
1,Medu,categorical,33.33,1,3,2.0,"{""3.0"": 1}",3.0,,,,
1,Mjob_at_home,categorical,0.0,0,3,0.0,{},,,,,
1,Mjob_health,categorical,0.0,0,3,0.0,{},,,,,
1,Mjob_other,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
1,Mjob_services,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
1,Mjob_teacher,categorical,0.0,0,3,0.0,{},,,,,
1,Pstatus,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
1,Walc,numerical,33.33,1,3,3.0,,,-1.0,-1.0,-1.0,0.0
1,absences,numerical,33.33,1,3,0.0,,,2.0,2.0,2.0,0.0
1,activities,categorical,33.33,1,3,1.0,"{""0.0"": 1}",0.0,,,,
1,age,numerical,33.33,1,3,17.0,,,-1.0,-1.0,-1.0,0.0
1,failures,numerical,66.67,2,3,1.0,,,-1.0,-1.0,-1.0,0.0
1,famrel,numerical,33.33,1,3,1.0,,,2.0,2.0,2.0,0.0
1,famsize,categorical,33.33,1,3,0.0,"{""1.0"": 1}",1.0,,,,
1,famsup,categorical,0.0,0,3,0.0,{},,,,,
1,freetime,numerical,33.33,1,3,2.0,,,1.0,1.0,1.0,0.0
1,goout,numerical,66.67,2,3,1.0,,,1.5,1.0,2.0,0.5
1,guardian_father,categorical,0.0,0,3,0.0,{},,,,,
1,guardian_mother,categorical,0.0,0,3,1.0,{},,,,,
1,guardian_other,categorical,0.0,0,3,0.0,{},,,,,
