instance_index,original_test_index,sex,age,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,guardian_father,guardian_mother,guardian_other,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,predicted_class,prediction_score,target_student
0,376,0,18,0,1,1,1,2,3,0,0,0,0,1,1,1,1,0,4,5,5,1,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.08,0
1,142,1,18,1,1,3,1,2,1,0,0,0,0,1,1,1,1,1,3,3,4,4,5,4,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.17,0
2,43,1,15,0,1,2,2,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.13,0
3,162,1,15,1,0,2,1,4,1,0,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.31,0
4,351,1,20,0,0,3,2,1,1,2,0,0,0,1,1,1,0,0,5,5,3,1,1,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.32,0
5,120,0,15,0,1,1,2,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.06,0
6,150,0,15,0,0,3,3,1,2,0,0,0,0,0,0,1,0,1,1,3,2,2,3,1,24,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.08,1
7,190,0,16,0,1,2,2,2,2,0,0,0,0,1,0,1,1,0,3,4,4,1,4,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.04,0
8,11,0,15,0,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.05,0
9,48,1,15,0,1,4,2,1,2,0,0,1,0,0,1,1,0,0,4,3,3,2,2,5,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.06,0
10,85,0,15,0,1,4,4,2,2,0,0,0,0,0,1,1,1,1,4,4,4,2,3,5,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.2,0
11,439,0,15,0,1,3,3,2,1,0,0,0,0,0,0,1,1,0,4,1,3,1,1,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.07,0
12,332,0,18,0,1,2,2,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.05,0
13,276,1,16,0,1,2,1,3,1,0,0,0,0,0,1,1,1,0,4,3,3,1,1,4,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.1,0
14,156,0,15,0,1,1,1,1,2,0,0,1,0,0,1,1,1,0,4,4,2,1,2,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.08,0
15,13,1,15,0,1,4,3,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.05,0
